Inference Latency (ms),Prediction,Input Text,Timestamp
131.57,POSITIVE,Hello.,2025-03-23T14:28:03.021757
152.01,POSITIVE,Good day.,2025-03-23T14:28:03.215073
40.10,NEGATIVE,How are you,2025-03-23T14:28:03.266999
40.35,POSITIVE,Thank you,2025-03-23T14:28:03.321010
35.67,POSITIVE,Yes please,2025-03-23T14:28:03.371702
41.39,NEGATIVE,No thanks,2025-03-23T14:28:03.424126
45.13,NEGATIVE,Lets go,2025-03-23T14:28:03.481720
44.78,POSITIVE,See you soon,2025-03-23T14:28:03.546125
27.06,POSITIVE,Have a nice day,2025-03-23T14:28:03.587848
61.30,POSITIVE,Okay sounds good,2025-03-23T14:28:03.660015
38.88,POSITIVE,The movie was absolutely fantastic and I enjoyed every minute,2025-03-23T14:28:03.713502
42.91,POSITIVE,I am very happy with the service provided it exceeded my expectations,2025-03-23T14:28:03.773155
28.94,POSITIVE,The food was delicious and the staff were incredibly friendly and helpful,2025-03-23T14:28:03.817159
42.97,POSITIVE,This product is amazing I would highly recommend it to everyone,2025-03-23T14:28:03.871270
39.90,POSITIVE,Everything was perfect from start to finish a truly wonderful experience,2025-03-23T14:28:03.923754
34.93,POSITIVE,I am extremely satisfied with my purchase and would buy it again,2025-03-23T14:28:03.976601
56.19,POSITIVE,The quality is excellent and the price is very reasonable great value,2025-03-23T14:28:04.049210
56.37,POSITIVE,I had a fantastic time and will definitely be returning in the future,2025-03-23T14:28:04.120906
91.00,POSITIVE,The atmosphere was lovely and the overall experience was top notch,2025-03-23T14:28:04.222970
34.87,POSITIVE,I could not be happier with the outcome truly exceptional work,2025-03-23T14:28:04.267285
76.20,NEGATIVE,The movie was terrible and I regretted wasting my time watching it,2025-03-23T14:28:04.354702
47.13,NEGATIVE,I am very disappointed with the service it was far below my expectations,2025-03-23T14:28:04.416830
47.44,NEGATIVE,The food was awful and the staff were rude and unhelpful a terrible experience,2025-03-23T14:28:04.474172
45.53,NEGATIVE,This product is a complete waste of money do not buy it extremely poor quality,2025-03-23T14:28:04.534147
40.81,NEGATIVE,Everything was a disaster from beginning to end a truly awful and frustrating experience,2025-03-23T14:28:04.585443
50.05,NEGATIVE,I am extremely dissatisfied and will never purchase anything from this company again,2025-03-23T14:28:04.646739
44.35,NEGATIVE,The quality is terrible and the price is outrageous absolutely no value for money,2025-03-23T14:28:04.703620
40.23,NEGATIVE,I had a terrible time and would strongly advise everyone to avoid this place in the future,2025-03-23T14:28:04.753964
128.44,NEGATIVE,The atmosphere was unpleasant and the whole experience was incredibly disappointing,2025-03-23T14:28:04.896851
81.30,NEGATIVE,I could not be more unhappy with the result completely unacceptable and unprofessional work,2025-03-23T14:28:04.991815
60.83,NEGATIVE,While the plot was confusing the acting was superb but the ending made little sense What did you think,2025-03-23T14:28:05.069660
36.92,NEGATIVE,Although it started promisingly the second half of the book really let me down which is a shame,2025-03-23T14:28:05.115220
52.06,POSITIVE,Despite some initial flaws the product ultimately delivered on its promises surprisingly,2025-03-23T14:28:05.180336
54.01,POSITIVE,Even though it rained all day we still managed to have a good time can you believe it,2025-03-23T14:28:05.246652
33.97,POSITIVE,Considering the price the quality is acceptable but is it really worth the money in the long run,2025-03-23T14:28:05.296426
43.32,NEGATIVE,While I appreciate the effort the final result is simply not up to par unfortunately,2025-03-23T14:28:05.350757
46.24,NEGATIVE,Although I had high hopes the experience was ultimately underwhelming and forgettable sadly,2025-03-23T14:28:05.405656
72.20,NEGATIVE,Despite the positive reviews I found it to be quite mediocre and not particularly memorable to be honest,2025-03-23T14:28:05.488699
84.65,NEGATIVE,Even with the discounts I am not sure if it is a good deal what do you think about the value proposition,2025-03-23T14:28:05.586961
86.98,NEGATIVE,While some aspects were well done the overall impression was rather disappointing wouldnt you agree,2025-03-23T14:28:05.693841
37.46,POSITIVE,Container orchestration in Docker Swarm is essential for scalability,2025-03-23T14:28:05.748398
45.23,POSITIVE,Latency and throughput are key metrics for LLM inference performance,2025-03-23T14:28:05.810655
55.63,POSITIVE,Network topology significantly impacts distributed systems,2025-03-23T14:28:05.877038
42.28,NEGATIVE,Bash scripts can be used for IT automation,2025-03-23T14:28:05.928578
57.54,POSITIVE,Distributed topology involves remote sites,2025-03-23T14:28:06.000282
41.74,NEGATIVE,Mesh networks in Docker Swarm may have performance penalties,2025-03-23T14:28:06.052880
60.76,NEGATIVE,Large language model prompts can be complex,2025-03-23T14:28:06.126246
69.26,NEGATIVE,Poor Swarm performance can lead to lag,2025-03-23T14:28:06.205770
38.93,POSITIVE,LLMs explore latency throughput and cost,2025-03-23T14:28:06.254459
39.02,NEGATIVE,New bash scripts can be generated by LLMs,2025-03-23T14:28:06.320011
84.82,POSITIVE,The advancements in large language models have been truly remarkable in recent years Their ability to understand and generate human like text is transforming various industries and applications From natural language processing to content creation the potential is vast,2025-03-23T14:28:06.419586
